ABN,Email1,Start Date,Issue Date,Expiry Date,Licence Class,Email2,Email3,Email4,Email Orig String
11  579 573 181,info@pelicancharters.com.au,,,30-Jun-22,T,,,,info@pelicancharters.com.au
67 521 172 081,darngku@bigpond.com,,3-Apr-18,30-Apr-21,T+,,,,darngku@bigpond.com
41 291 609 330,info@confluence.com.au,,28-Jul-16,31-Jul-19,T+,,,,info@confluence.com.au
69 104 769  584,jmorrisn@worldchallenge.com.au,,20-Dec-18,31-Jan-22,T+,,,,jmorrisn@worldchallenge.com.au
20 084 058 296,John@wembleycycles.com,13-Jul-19,10-Jul-19,14-Sep-19,T,,,,John@wembleycycles.com
20 084 058 296,John@wembleycycles.com,,4-Jul-18,13-Jul-19,T,,,,John@wembleycycles.com
43 599 477 276,ross@targawest.com.au,29-Apr-19,,28-Jun-19,T+,,,,ross@targawest.com.au
44 501 003 479,ride@westcoastsafaris.com.au,,4-Sep-17,31-Oct-20,T,,,,ride@westcoastsafaris.com.au
97 056 797 228,shawhorizons@myoffice.net.au,,28-Nov-18,30-Nov-21,T+,,,,shawhorizons@myoffice.net.au
19 649 784 729,kklay@bigpond.com,,20-Dec-18,31-Jan-20,T+,,,,kklay@bigpond.com
51 519 020 223,campcoralbay@bigpond.com,,11-Jun-18,31-Jul-21,T+,,,,campcoralbay@bigpond.com
21 104 931 240,kaygeebee@bigpond.com,2-Aug-11,3-Aug-11,31-Dec-23,E,,,,kaygeebee@bigpond.com
21 104 931 240,kaygeebee@bigpond.com,21-Feb-10,18-Feb-10,20-Feb-20,E,,,,kaygeebee@bigpond.com
21 104 931 240,kaygeebee@bigpond.com,21-Feb-10,18-Feb-10,20-Feb-20,E,,,,kaygeebee@bigpond.com
29 763 838 6756,info@sailningaloo.com.au,21-Feb-10,27-Dec-12,20-Feb-20,E,,,,info@sailningaloo.com.au
29 763 838 6756,info@sailningaloo.com.au,,8-Feb-16,28-Feb-21,T,,,,info@sailningaloo.com.au
92 132 531 649,mail@westozkiteboarding.com.au,,4-Oct-11,31-Oct-21,T+,,,,mail@westozkiteboarding.com.au
72 829 822 587,doc@kepakurl.com.au,,12-Dec-14,31-Mar-24,T+,,,,doc@kepakurl.com.au
18833045600,info@wwtwa.com.au,,17-Mar-16,31-Mar-20,T+,,,,info@wwtwa.com.au
16 345 720 015,info@kimberleybirdwatching.com.au,,3-May-19,31-May-20,T+,,,,info@kimberleybirdwatching.com.au
66 122 625 567,james@kimberleywild.com.au,,22-May-12,31-May-22,E,,,,james@kimberleywild.com.au
66 122 625 567,james@kimberleywild.com.au,,25-Feb-19,30-Apr-22,T+,,,,james@kimberleywild.com.au
90 106 742 385,andrew.horan@aptouring.com.au,,9-Feb-16,31-May-22,E,,,,andrew.horan@aptouring.com.au
90 106 742 385,andrew.horan@aptouring.com.au,,30-Apr-20,31-May-22,T+,,,,andrew.horan@aptouring.com.au
,baseman61@bigpond.com,,14-Oct-10,30-Sep-16,T,,,,baseman61@bigpond.com
47 058 367 847,info@kingleopoldair.com.au,,27-Jul-16,31-Aug-19,T+,,,,info@kingleopoldair.com.au
46 064 688 651,info@outdoordiscoveries.com.au,,21-Feb-19,31-Mar-22,T+,Brett@outdoordiscoveries.com.au,,,info@outdoordiscoveries.com.au; Brett@outdoordiscoveries.com.au
65 009 105 677,operations@sailleeuwin.com,,10-Nov-16,30-Nov-19,T,,,,operations@sailleeuwin.com
49 105 617 165,info@lestoktours.com.au,,22-Dec-17,31-Dec-20,T,,,,info@lestoktours.com.au
82 088 452 582,lordssafaris@bigpond.com,12-Aug-19,20-Jun-19,11-Oct-19,T+,,,,lordssafaris@bigpond.com
